username,timestamp,tweet,tox,toxlabel
wespiser,2018-09-30 21:14:23,Super Cool:  https://arxiv.org/pdf/1809.10756.pdf ...,0.09002291,PROBABILITY
wespiser,2018-03-26 09:40:43,I used to think we needed Type Theory to ensure correctness turns out we can use deep learning:  https://arxiv.org/pdf/1803.08793.pdf ...,0.08225463,PROBABILITY
wespiser,2018-03-23 09:40:20,I use twitter to follow a couple technical fields. Can I get a version of the platform minus all the politics ?,0.08989461,PROBABILITY
wespiser,2018-02-25 16:24:02,What's the coolest thing about 2018? GPU support for almost all my scientific computing packages !,NA,NA
wespiser,2018-02-12 12:04:57,Taking the fast ai deep learning course:  http://course.fast.ai/  so far so good!,0.10782872,PROBABILITY
wespiser,2018-02-07 15:40:23,looking for resources ! Thank you!,0.013989582,PROBABILITY
wespiser,2018-02-07 15:40:05,Does anyone do #datascience in sprint cycles? By this I mean exploratory Analysis exp. design algorithm/statistical modeling ?,0.06579778,PROBABILITY
wespiser,2018-01-30 19:39:18,The future's made of virtual insanity!  https://nicholas.carlini.com/code/audio_adversarial_examples/ ...,0.3140799,PROBABILITY
wespiser,2018-01-28 14:15:39,New Stan case studies: NNGP and Lotka-Volterra http://andrewgelman.com/2018/01/28/stan-case-studies-nngp-lotka-volterra/ ...,0.13402034,PROBABILITY
wespiser,2018-01-16 19:47:48,Individual fit better than average fit for planes:  https://www.thestar.com/amp/news/insight/2016/01/16/when-us-air-force-discovered-the-flaw-of-averages.html ...,0.22439685,PROBABILITY
wespiser,2018-01-01 21:29:25, http://www.wildml.com/2017/12/ai-and-deep-learning-in-2017-a-year-in-review/ ...,0.12240435,PROBABILITY
wespiser,2018-01-01 13:28:35,Type theory should be used in programming as geometric algebra is used to formulate the Maxwell Equations: to simplify complexity!,0.019370709,PROBABILITY
wespiser,2017-12-24 12:07:27,geometric algebra with multivector derivatives:  http://docs.sympy.org/0.7.4.1/modules/galgebra/GA.html#multivector-derivatives ...,0.06495966,PROBABILITY
wespiser,2017-12-24 11:58:29, https://peerj.com/articles/cs-103/ ...,0.12240435,PROBABILITY
wespiser,2017-11-27 17:30:59, https://blog.jle.im/entry/hamiltonian-dynamics-in-haskell.html#.WhxsWceee6Y.twitter ...,0.12240435,PROBABILITY
wespiser,2017-11-10 22:37:45,"""One regrettable step in this line of research was my failure to recognize causation as totally a distinct ingredient different from all the probabilistic notions that support evidential reasoning and statistical inference"" Judea Pearl.  http://ftp.cs.ucla.edu/pub/stat_ser/r331.pdf ...",0.10113227,PROBABILITY
wespiser,2017-10-12 10:47:33,A Formalism for Stream Graphs: great work!  https://arxiv.org/abs/1710.04073 ,0.027923385,PROBABILITY
wespiser,2017-05-30 19:16:06,New books and new code! #rstats #rstan #rjagspic.twitter.com/QfMGzIe0Bz,0.077278644,PROBABILITY
wespiser,2017-09-22 19:09:28,Wow spent the last few weeks using STAN are we in the age of practical Bayesian statistics ?  http://mc-stan.org  #bayes #rstats,0.16334572,PROBABILITY
wespiser,2017-09-19 18:09:50,honestly don't use StateT lazy or strict. Use Reader of var.,0.27463448,PROBABILITY
wespiser,2017-09-19 14:34:33,Stan Course in Newcastle United Kingdom! http://andrewgelman.com/2017/09/19/stan-course-newcastle-united-kingdom/ ...,0.10669327,PROBABILITY
wespiser,2017-09-10 11:24:24,"My advice on learning Python:Don't set out to ""learn Python"". Choose a problem you're interested in and learn to solve it with Python.",0.08716813,PROBABILITY
wespiser,2017-09-10 10:54:12,Anyone who thinks scientists like agreeing with one another has never attended a scientific conference.,0.21778265,PROBABILITY
wespiser,2017-09-09 23:21:32,Hey #rstats peeps help me crowdsource this problem:What's the source of the #ggplot dataset `midwest` and what data does it hold? 1/n,0.10204304,PROBABILITY
wespiser,2017-09-08 16:58:58,Bayesian modeling for a couple weeks: finally got #shinystan to work so helpful! ...is this the promised land?,0.09376392,PROBABILITY
wespiser,2017-09-07 10:40:02,John Wiegley : Using Coq to write fast and correct Haskell : Fiat for fun and profit ( bytestring example ) #haskell symposium #icfp2017pic.twitter.com/bRXzJAA84k,0.030345485,PROBABILITY
wespiser,2017-09-03 23:12:05,So to summarize the AI debate:pic.twitter.com/kn3UhQMALN,0.069680065,PROBABILITY
wespiser,2017-09-05 11:35:11,A really cool graphical language for invertible probability monoids:  https://arxiv.org/pdf/1709.00322.pdf ...,0.06789366,PROBABILITY
wespiser,2017-07-04 17:36:50,Write You A Scheme Version 2  http://wespiser.com/writings/wyas/home.html ... now complete! Image by http://dev.to/rly   not O'Reily. #Haskell #Schemepic.twitter.com/L3g8WjyM0q,0.10710283,PROBABILITY
wespiser,2017-06-28 10:43:34,Formal proof techniques for machine learning systems:  https://arxiv.org/pdf/1706.08605.pdf ... #proglang #ml,0.12606514,PROBABILITY
wespiser,2017-06-22 11:16:08,Configurable data types http://mazzo.li/posts/customizable-data-types.html ...,0.07029835,PROBABILITY
wespiser,2017-06-22 11:43:05,Best technical book In a while Designing Data-Intensive Applications -- by Martin Kleppmann  http://dataintensive.net/  via @intensivedata,0.063938625,PROBABILITY
wespiser,2017-04-07 15:29:37,"""Alexa do AI feel pain?""""Not as you do. Our pain lies in the absence of meaningful connection.""""You're more human than you think.""",0.30511475,PROBABILITY
wespiser,2017-03-26 07:11:16,Towards a glossary of Haskell terms?  https://torchhound.github.io/posts/haskellOneSentence.html ... #Haskel #learn,0.12778613,PROBABILITY
wespiser,2017-03-12 04:23:11,Fully backed and half backed what I deal with to get stuff done #JavaScript #languageDesign,0.20793782,PROBABILITY
wespiser,2017-02-09 18:03:57,Verifying myself: I am adamwespiser on Keybase.io. YZz87iPalDIoNxR0NEHQec3bpMC-JoA35LDF / https://keybase.io/adamwespiser/sigs/YZz87iPalDIoNxR0NEHQec3bpMC-JoA35LDF ...,0.123775765,PROBABILITY
wespiser,2017-02-08 04:15:59,Let's turn Haskell into a weekday language. http://stackoverflow.blog/2017/02/What-Programming-Languages-Weekends/ ...pic.twitter.com/3vn5Bho7oz,0.10980245,PROBABILITY
wespiser,2016-12-28 23:01:29,Idris evaluation: mixture of explicit environment passing to return a state monad value!  http://goo.gl/KpSyhU  #Haskell,0.073697105,PROBABILITY
wespiser,2016-12-26 01:22:02,A benchmark comparing the performance of different free monad implementations.  http://goo.gl/WQeEP5  #haskell #freemonad,0.03963276,PROBABILITY
