user,fullname,tweet-id,timestamp,url,likes,replies,retweets,text,html
realDonaldTrump,Donald J. Trump,1053807130120200192,2018-10-21 00:36:13,/realDonaldTrump/status/1053807130120200192,33037,9182,11398,"All levels of government and Law Enforcement are watching carefully for VOTER FRAUD, including during EARLY VOTING. Cheat at your own peril. Violators will be subject to maximum penalties, both civil and criminal!","<p class=""TweetTextSize TweetTextSize--normal js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">All levels of government and Law Enforcement are watching carefully for VOTER FRAUD, including during EARLY VOTING. Cheat at your own peril. Violators will be subject to maximum penalties, both civil and criminal!</p>"
realDonaldTrump,Donald J. Trump,1053740855016574976,2018-10-20 20:12:52,/realDonaldTrump/status/1053740855016574976,25746,4850,6663,"Beautiful afternoon in Elko, Nevada. Thank you! Get out and VOTE TODAY!! #MAGA#JobsNotMobs http://Vote.GOP pic.twitter.com/AKfGzjrqCM","<p class=""TweetTextSize TweetTextSize--normal js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Beautiful afternoon in Elko, Nevada. Thank you! Get out and VOTE TODAY!! <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/MAGA?src=hash""><s>#</s><b>MAGA</b></a><img alt=""🇺🇸"" aria-label=""Emoji: Flag of United States"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f1fa-1f1f8.png"" title=""Flag of United States""/><a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/JobsNotMobs?src=hash""><s>#</s><b>JobsNotMobs</b></a> <a class=""twitter-timeline-link"" data-expanded-url=""http://Vote.GOP"" dir=""ltr"" href=""https://t.co/0pWiwCq4MH"" rel=""nofollow noopener"" target=""_blank"" title=""http://Vote.GOP""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">Vote.GOP</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/AKfGzjrqCM"">pic.twitter.com/AKfGzjrqCM</a></p>"
realDonaldTrump,Donald J. Trump,1053684769991454721,2018-10-20 16:30:00,/realDonaldTrump/status/1053684769991454721,40629,6219,10654,"Heading to Nevada to help a man who has become a good friend, Senator Dean Heller. He is all about #MAGA and I need his Help and Talent in Washington. Also, Adam Laxalt will be a GREAT GOVERNOR, and has my complete and total Endorsement. Winners Both!","<p class=""TweetTextSize TweetTextSize--normal js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Heading to Nevada to help a man who has become a good friend, Senator Dean Heller. He is all about <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/MAGA?src=hash""><s>#</s><b>MAGA</b></a> and I need his Help and Talent in Washington. Also, Adam Laxalt will be a GREAT GOVERNOR, and has my complete and total Endorsement. Winners Both!</p>"
realDonaldTrump,Donald J. Trump,1053682023066288128,2018-10-20 16:19:05,/realDonaldTrump/status/1053682023066288128,43333,4313,10934,"Leaving Arizona after a fantastic Rally last night, in Mesa, honoring, and for, Martha @RepMcSally McSally. She is an inspiration & will be a GREAT SENATOR for the people of Arizona. Her opponent is a Nancy Pelosi puppet, really bad for State. Early Voting NOW! Will be back soon.","<p class=""TweetTextSize TweetTextSize--normal js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Leaving Arizona after a fantastic Rally last night, in Mesa, honoring, and for, Martha <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""2964949642"" dir=""ltr"" href=""/RepMcSally""><s>@</s><b>RepMcSally</b></a> McSally. She is an inspiration &amp; will be a GREAT SENATOR for the people of Arizona. Her opponent is a Nancy Pelosi puppet, really bad for State. Early Voting NOW! Will be back soon.</p>"
realDonaldTrump,Donald J. Trump,1053662989272793089,2018-10-20 15:03:27,/realDonaldTrump/status/1053662989272793089,46077,8103,13235,Rick Scott is known as easily one of the best Governors in the USA. Florida is setting records in almost every category of success. Amazing achievement-the envy of the World. Ron DeSantis will build on this success. His incompetent opponent will destroy Florida - next Venezuela!,"<p class=""TweetTextSize TweetTextSize--normal js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Rick Scott is known as easily one of the best Governors in the USA. Florida is setting records in almost every category of success. Amazing achievement-the envy of the World. Ron DeSantis will build on this success. His incompetent opponent will destroy Florida - next Venezuela!</p>"
realDonaldTrump,Donald J. Trump,1053661248217202688,2018-10-20 14:56:32,/realDonaldTrump/status/1053661248217202688,43913,5739,13590,"Ron @RonDeSantisFL DeSantis is working hard. A great Congressman and top student at Harvard & Yale, Ron will be a record setting governor for Florida. Rick Scott gave him tremendous foundations to further build on. His opponent runs one of the worst & most corrupt cities in USA!","<p class=""TweetTextSize TweetTextSize--normal js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Ron <a class=""twitter-atreply pretty-link js-nav"" data-mentioned-user-id=""487297085"" dir=""ltr"" href=""/RonDeSantisFL""><s>@</s><b>RonDeSantisFL</b></a> DeSantis is working hard. A great Congressman and top student at Harvard &amp; Yale, Ron will be a record setting governor for Florida. Rick Scott gave him tremendous foundations to further build on. His opponent runs one of the worst &amp; most corrupt cities in USA!</p>"
realDonaldTrump,Donald J. Trump,1053658596712431616,2018-10-20 14:46:00,/realDonaldTrump/status/1053658596712431616,41911,4581,11280,Get out and Early Vote for Brian Kemp. He will be a GREAT GOVERNOR for the State of Georgia!,"<p class=""TweetTextSize TweetTextSize--normal js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Get out and Early Vote for Brian Kemp. He will be a GREAT GOVERNOR for the State of Georgia!</p>"
realDonaldTrump,Donald J. Trump,1053657849606234112,2018-10-20 14:43:02,/realDonaldTrump/status/1053657849606234112,46589,7280,12747,"Georgia Secretary of State Brian Kemp will be a great governor. He has been successful at whatever he has done, and has prepared for this very difficult and complex job for many years. He has my Strong Endorsement. His opponent is totally unqualified. Would destroy a great state!","<p class=""TweetTextSize TweetTextSize--normal js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Georgia Secretary of State Brian Kemp will be a great governor. He has been successful at whatever he has done, and has prepared for this very difficult and complex job for many years. He has my Strong Endorsement. His opponent is totally unqualified. Would destroy a great state!</p>"
realDonaldTrump,Donald J. Trump,1053655992649506821,2018-10-20 14:35:39,/realDonaldTrump/status/1053655992649506821,76027,17342,22869,"If the Democrats would stop being obstructionists and come together, we could write up and agree to new immigration laws in less than one hour. Look at the needless  pain and suffering that they are causing. Look at the horrors taking place on the Border. Chuck & Nancy, call me!","<p class=""TweetTextSize TweetTextSize--normal js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">If the Democrats would stop being obstructionists and come together, we could write up and agree to new immigration laws in less than one hour. Look at the needless  pain and suffering that they are causing. Look at the horrors taking place on the Border. Chuck &amp; Nancy, call me!</p>"
realDonaldTrump,Donald J. Trump,1053485357734408192,2018-10-20 03:17:36,/realDonaldTrump/status/1053485357734408192,41369,6687,10330,"Beautiful evening in Mesa, Arizona with GREAT PATRIOTS - thank you! http://Vote.GOP  #MAGARallyreplay: https://www.facebook.com/DonaldTrump/videos/242600546612340/ …pic.twitter.com/pHmU6pMKh7","<p class=""TweetTextSize TweetTextSize--normal js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">Beautiful evening in Mesa, Arizona with GREAT PATRIOTS - thank you! <a class=""twitter-timeline-link"" data-expanded-url=""http://Vote.GOP"" dir=""ltr"" href=""https://t.co/0pWiwCq4MH"" rel=""nofollow noopener"" target=""_blank"" title=""http://Vote.GOP""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">Vote.GOP</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/MAGARally?src=hash""><s>#</s><b>MAGARally</b></a><img alt=""🇺🇸"" aria-label=""Emoji: Flag of United States"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f1fa-1f1f8.png"" title=""Flag of United States""/>replay: <a class=""twitter-timeline-link"" data-expanded-url=""https://www.facebook.com/DonaldTrump/videos/242600546612340/"" dir=""ltr"" href=""https://t.co/6vHEaB37VH"" rel=""nofollow noopener"" target=""_blank"" title=""https://www.facebook.com/DonaldTrump/videos/242600546612340/""><span class=""tco-ellipsis""></span><span class=""invisible"">https://www.</span><span class=""js-display-url"">facebook.com/DonaldTrump/vi</span><span class=""invisible"">deos/242600546612340/</span><span class=""tco-ellipsis""><span class=""invisible""> </span>…</span></a><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/pHmU6pMKh7"">pic.twitter.com/pHmU6pMKh7</a></p>"
realDonaldTrump,Donald J. Trump,1053484232138358785,2018-10-20 03:13:08,/realDonaldTrump/status/1053484232138358785,79336,9814,21651,"This was outside of the massive totally full hangar tonight in Mesa, Arizona! http://Vote.GOP  #MAGApic.twitter.com/7mx98y515I","<p class=""TweetTextSize TweetTextSize--normal js-tweet-text tweet-text"" data-aria-label-part=""0"" lang=""en"">This was outside of the massive totally full hangar tonight in Mesa, Arizona! <a class=""twitter-timeline-link"" data-expanded-url=""http://Vote.GOP"" dir=""ltr"" href=""https://t.co/0pWiwCq4MH"" rel=""nofollow noopener"" target=""_blank"" title=""http://Vote.GOP""><span class=""tco-ellipsis""></span><span class=""invisible"">http://</span><span class=""js-display-url"">Vote.GOP</span><span class=""invisible""></span><span class=""tco-ellipsis""><span class=""invisible""> </span></span></a> <a class=""twitter-hashtag pretty-link js-nav"" data-query-source=""hashtag_click"" dir=""ltr"" href=""/hashtag/MAGA?src=hash""><s>#</s><b>MAGA</b></a><img alt=""🇺🇸"" aria-label=""Emoji: Flag of United States"" class=""Emoji Emoji--forText"" draggable=""false"" src=""https://abs.twimg.com/emoji/v2/72x72/1f1fa-1f1f8.png"" title=""Flag of United States""/><a class=""twitter-timeline-link u-hidden"" data-pre-embedded=""true"" dir=""ltr"" href=""https://t.co/7mx98y515I"">pic.twitter.com/7mx98y515I</a></p>"
